EMPLID,DEPTID,ACCT_CD,PAY_END_DT,O_SAL_AMT,O_TEMP_AMT,O_OVT_AMT,O_FRINGE_TOT,O_AUTO_ALLOW,O_WC_PAID,O_SUI_PAID,O_UNIFORM_ALLOW,O_DIS_INS,O_FIRE_HOL,O_SPECIAL_MEETING
17104,161,34161,1/10/15 0:00,4629.9,0,0,1859.75,0,29.17,27.99,0,0,0,0
17104,161,34161,1/24/15 0:00,4629.89,0,0,1385.52,0,29.17,27.78,0,0,0,0
17104,161,34161,2/7/15 0:00,4629.89,0,0,1859.75,0,29.17,27.99,0,0,0,0
17104,161,34161,2/21/15 0:00,4629.89,0,0,1859.74,0,29.17,27.99,0,0,0,0
17104,161,34161,3/7/15 0:00,4629.9,0,0,1859.75,0,29.17,27.99,0,0,0,0
17104,161,34161,3/21/15 0:00,4629.89,0,0,1859.74,0,29.17,27.99,0,0,0,0
17104,161,34161,4/4/15 0:00,4629.89,0,0,1859.74,0,29.17,27.98,0,0,0,0
17104,161,34161,4/18/15 0:00,4629.89,0,0,1859.75,0,29.17,27.99,0,0,0,0
17104,161,34161,5/2/15 0:00,4629.89,0,0,1859.74,0,29.17,27.99,0,0,0,0
17104,161,34161,5/16/15 0:00,4629.89,0,0,1859.75,0,29.17,27.99,0,0,0,0
17104,161,34161,5/30/15 0:00,4629.89,0,0,1859.74,0,29.17,27.99,0,0,0,0
17104,161,34161,6/13/15 0:00,4629.89,0,0,1859.75,0,29.17,27.99,0,0,0,0
17104,161,34161,6/27/15 0:00,4629.89,0,0,1859.74,0,29.17,27.99,0,0,0,0
17104,161,34161,7/11/15 0:00,4629.89,0,0,1906.17,0,29.17,27.99,0,0,0,0
17104,161,34161,7/25/15 0:00,4887.78,0,0,1403.28,0,30.79,29.33,0,0,0,0
17104,161,34161,8/8/15 0:00,4887.78,0,0,1877.49,0,30.79,29.53,0,0,0,0
17104,161,34161,8/22/15 0:00,4887.78,0,0,1877.49,0,30.79,29.54,0,0,0,0
17104,161,34161,9/5/15 0:00,4887.78,0,0,1877.5,0,30.79,29.54,0,0,0,0
17104,161,34161,9/19/15 0:00,4887.78,0,0,1877.49,0,30.79,29.53,0,0,0,0
17104,161,34161,10/3/15 0:00,4887.78,0,0,1877.49,0,30.79,29.54,0,0,0,0
17104,161,34161,10/17/15 0:00,4887.78,0,0,1877.5,0,30.79,29.54,0,0,0,0
17104,161,34161,10/31/15 0:00,4887.78,0,0,1877.48,0,30.79,29.53,0,0,0,0
17104,161,34161,11/14/15 0:00,4887.78,0,0,1877.5,0,30.79,29.54,0,0,0,0
17104,161,34161,11/28/15 0:00,10997.5,0,0,1690.59,0,30.79,29.54,0,0,0,0
17104,161,34161,12/12/15 0:00,4887.78,0,0,1562,0,30.79,29.53,0,0,0,0
17104,161,34161,12/26/15 0:00,4887.78,0,0,1100.24,0,30.79,29.33,0,0,0,0
17104,161,34161,1/9/16 0:00,4887.78,0,0,1905.27,0,30.79,29.54,0,0,0,0
17104,161,34161,1/23/16 0:00,4887.78,0,0,1905.27,0,30.79,29.53,0,0,0,0
17104,161,34161,2/6/16 0:00,4887.78,0,0,1905.27,0,30.79,29.54,0,0,0,0
17104,161,34161,2/20/16 0:00,4887.78,0,0,1905.28,0,30.79,29.54,0,0,0,0
17104,161,34161,3/5/16 0:00,4887.78,0,0,1905.27,0,30.79,29.53,0,0,0,0
17104,161,34161,3/19/16 0:00,4887.78,0,0,1905.27,0,30.79,29.54,0,0,0,0
17104,161,34161,4/2/16 0:00,4887.78,0,0,1905.27,0,30.79,29.54,0,0,0,0
17104,161,34161,4/16/16 0:00,4887.78,0,0,1905.27,0,30.79,29.53,0,0,0,0
17104,161,34161,4/30/16 0:00,4887.78,0,0,1905.27,0,30.79,29.54,0,0,0,0
17104,161,34161,5/14/16 0:00,4887.78,0,0,1905.28,0,30.79,29.54,0,0,0,0
17104,161,34161,5/28/16 0:00,4521.2,0,0,1762.38,0,28.48,27.32,0,0,0,0
17104,161,34161,6/11/16 0:00,2749.39,0,0,1071.72,0,17.32,16.62,0,0,0,0
17104,161,34161,6/25/16 0:00,3299.25,0,0,1286.07,0,20.78,19.94,0,0,0,0
17104,161,34161,7/9/16 0:00,2566.09,0,0,1027.24,0,16.16,15.5,0,0,0,0
17104,161,34161,7/23/16 0:00,4102.99,0,0,1190.72,0,25.85,24.62,0,0,0,0
17104,161,34161,8/6/16 0:00,4413.82,0,0,1726.43,0,27.81,26.67,0,0,0,0
17104,161,34161,8/20/16 0:00,2859.65,0,0,1118.54,0,18.01,17.28,0,0,0,0
17104,161,34161,9/3/16 0:00,1802.83,0,0,705.17,0,11.36,10.89,0,0,0,0
17104,161,34161,9/17/16 0:00,2362.33,0,0,924.01,0,14.88,14.27,0,0,0,0
17104,161,034161OIAAT,5/28/16 0:00,366.58,0,0,142.89,0,2.31,2.21,0,0,0,0
17104,161,034161OIAAT,6/11/16 0:00,2138.4,0,0,833.55,0,13.47,12.92,0,0,0,0
17104,161,034161OIAAT,6/25/16 0:00,1588.53,0,0,619.2,0,10.01,9.6,0,0,0,0
17104,161,034161OIAAT,7/9/16 0:00,2321.69,0,0,929.4,0,14.63,14.03,0,0,0,0
17104,161,034161OIAAT,7/23/16 0:00,870.33,0,0,252.58,0,5.48,5.22,0,0,0,0
17104,161,034161OIAAT,8/6/16 0:00,559.5,0,0,218.85,0,3.52,3.38,0,0,0,0
17104,161,034161OIAAT,8/20/16 0:00,2113.66,0,0,826.74,0,13.32,12.77,0,0,0,0
17104,161,034161OIAAT,9/3/16 0:00,3170.49,0,0,1240.11,0,19.97,19.16,0,0,0,0
17104,161,034161OIAAT,9/17/16 0:00,2610.99,0,0,1021.27,0,16.45,15.78,0,0,0,0
